名称,20日涨跌幅
次新股指数,0.465744836078
冷链物流指数,0.250838849452
卫星导航指数,0.19886511296
传感器指数,0.192083064279
新材料指数,0.156736216226
黄金珠宝指数,0.149390954626
量子通信指数,0.140945556995
能源互联网指数,0.127048355319
航母指数,0.12528240311
锂电池指数,0.123627710063
通用航空指数,0.11597819339
3D打印指数,0.110527039775
芯片国产化指数,0.103285177004
太阳能发电指数,0.103203667605
安防监控指数,0.102869854681
军民融合指数,0.101199012512
物联网指数,0.100620937814
建筑节能指数,0.0987778190262
绿色节能照明指数,0.0908123671246
新能源汽车指数,0.0900374981859
智能电网指数,0.0883359858496
智能家居指数,0.0878564494955
特高压指数,0.0812095944399
移动支付指数,0.0808797809587
食品安全指数,0.0795092332179
燃料电池指数,0.0791079988897
智能物流指数,0.0781499943451
工业4.0指数,0.0773146703587
无人机指数,0.07575092435
网络安全指数,0.0747803871349
高端装备制造指数,0.0741894227599
智能交通指数,0.0741478684349
基因检测指数,0.07332382296
PM2.5指数,0.0708011351596
北部湾自贸区指数,0.0706230663628
质押式回购指数,0.0701024175125
水利水电建设指数,0.0680732710231
智慧医疗指数,0.0679277792081
核能核电指数,0.0675802048372
海绵城市指数,0.065757907033
新能源指数,0.0657392659596
4G指数,0.0647865129176
中日韩自贸区指数,0.0645034039955
生物识别指数,0.0639896236542
金融改革指数,0.0626469503194
移动互联网指数,0.0623383571741
抗癌指数,0.0607707577728
云计算指数,0.0593734654042
宽带提速指数,0.0592088456701
智能IC卡指数,0.0590615754175
智能汽车指数,0.0590106328008
参股金融指数,0.058211293873
装饰园林指数,0.057960763299
机器人指数,0.0564852175904
员工持股指数,0.0562309833526
高校指数,0.056208751041
汽车后市场指数,0.0557040906749
高铁指数,0.0551972511707
国家队指数,0.0545476828235
生物疫苗指数,0.0518916195127
大数据指数,0.051738287841
金控平台指数,0.0510607357746
充电桩指数,0.050870963269
去IOE指数,0.0507182882439
土地流转指数,0.0505484374489
养老产业指数,0.0497334830023
智能穿戴指数,0.0495238507876
页岩气和煤层气指数,0.0493004559183
职业教育指数,0.0468419596481
在线教育指数,0.0457011899805
人工智能指数,0.045206300903
长江经济带指数,0.044740839206
高送转概念指数,0.0436740400652
蓝宝石指数,0.0430419123215
海南旅游岛指数,0.0421184183536
重组指数,0.0416709666047
风力发电指数,0.0415356462126
超级电容指数,0.0414226667025
证金概念指数,0.041385690368
健康中国指数,0.0406273981655
环保概念指数,0.0402212516107
油气改革指数,0.0393108770111
第三方支付指数,0.0386031568226
互联网金融指数,0.0384773693542
石墨烯指数,0.0382433733672
生物育种指数,0.0378250455435
新三板指数,0.0369646046963
广东国资改革指数,0.0357242259724
智慧农业指数,0.0355555883242
医药电商指数,0.0351076642695
举牌指数,0.0346010232289
垃圾发电指数,0.0323725215976
创投指数,0.0309954689545
污水处理指数,0.0308937012062
国资改革指数,0.0301294175816
网络游戏指数,0.0282996754811
苹果指数,0.0267209787766
三网融合指数,0.0262666222153
跨境电商指数,0.0259946668131
民营医院指数,0.0250401776583
互联网营销指数,0.025004502314
上海本地重组指数,0.0232258727958
沪股通50指数,0.0228187224967
民营银行指数,0.0220144672899
大央企重组指数,0.0210051829252
一带一路指数,0.0209991665398
电子商务指数,0.0184641986096
文化传媒概念指数,0.0176987963015
在线旅游指数,0.0173428510652
稀土永磁指数,0.0169909860567
粤港澳自贸区指数,0.0168676533821
移动转售指数,0.0159832913164
京津冀一体化指数,0.014828387329
O2O指数,0.014171900757
新疆区域振兴指数,0.01412145521
丝绸之路指数,0.0116022685374
上海自贸区指数,0.00978675830629
浦东新区指数,0.00876832955958
天津自贸区指数,0.00635295863842
智能电视指数,0.00148094649984
体育指数,0.000511026697482
福建自贸区指数,-0.00102645766347
西藏振兴指数,-0.00131544821085
虚拟现实指数,-0.00396638039282
IP流量变现指数,-0.00941375253955
动漫指数,-0.00976019580799
网络彩票指数,-0.0104714319104
ST概念指数,-0.0172302734595
迪士尼指数,-0.0197591462613
